Date,Sg. Temerloh (m)
25/5/2016,?
26/5/2016,?
27/5/2016,?
28/5/2016,?
29/5/2016,?
30/5/2016,?
31/5/2016,?
1/6/2016,?
2/6/2016,?
3/6/2016,?
4/6/2016,?
5/6/2016,?
6/6/2016,?
7/6/2016,?
8/6/2016,?
9/6/2016,?
10/6/2016,?
11/6/2016,?
12/6/2016,?
13/6/2016,?
14/6/2016,?
15/6/2016,?
16/6/2016,?
17/6/2016,?
18/6/2016,?
19/6/2016,?
20/6/2016,?
21/6/2016,?
22/6/2016,?
23/6/2016,?
24/6/2016,?
25/6/2016,?
26/6/2016,?
27/6/2016,?
28/6/2016,?
29/6/2016,?
30/6/2016,23.42
1/7/2016,?
2/7/2016,?
3/7/2016,?
4/7/2016,?
5/7/2016,?
6/7/2016,?
7/7/2016,?
8/7/2016,?
9/7/2016,?
10/7/2016,?
11/7/2016,?
12/7/2016,?
13/7/2016,?
14/7/2016,?
15/7/2016,?
16/7/2016,?
17/7/2016,?
18/7/2016,?
19/7/2016,?
20/7/2016,?
21/7/2016,?
22/7/2016,?
23/7/2016,?
24/7/2016,?
25/7/2016,?
26/7/2016,?
27/7/2016,?
28/7/2016,?
29/7/2016,?
30/7/2016,?
31/7/2016,23.88
1/8/2016,?
2/8/2016,?
3/8/2016,?
4/8/2016,?
5/8/2016,?
6/8/2016,?
7/8/2016,?
8/8/2016,?
9/8/2016,?
10/8/2016,?
11/8/2016,?
12/8/2016,?
13/8/2016,?
14/8/2016,?
15/8/2016,?
16/8/2016,?
17/8/2016,?
18/8/2016,?
19/8/2016,?
20/8/2016,?
21/8/2016,?
22/8/2016,?
23/8/2016,?
24/8/2016,?
25/8/2016,?
26/8/2016,?
27/8/2016,?
28/8/2016,?
29/8/2016,?
30/8/2016,?
31/8/2016,?
1/9/2016,?
2/9/2016,?
3/9/2016,?
4/9/2016,?
5/9/2016,?
6/9/2016,?
7/9/2016,?
8/9/2016,?
9/9/2016,?
10/9/2016,?
11/9/2016,?
12/9/2016,?
13/9/2016,?
14/9/2016,?
15/9/2016,?
16/9/2016,?
17/9/2016,?
18/9/2016,?
19/9/2016,?
20/9/2016,?
21/9/2016,?
22/9/2016,?
23/9/2016,?
24/9/2016,?
25/9/2016,?
26/9/2016,?
27/9/2016,?
28/9/2016,?
29/9/2016,23.2
30/9/2016,23.2
1/10/2016,?
2/10/2016,?
3/10/2016,?
4/10/2016,?
5/10/2016,?
6/10/2016,?
7/10/2016,?
8/10/2016,?
9/10/2016,?
10/10/2016,?
11/10/2016,?
12/10/2016,?
13/10/2016,?
14/10/2016,?
15/10/2016,?
16/10/2016,?
17/10/2016,?
18/10/2016,?
19/10/2016,?
20/10/2016,?
21/10/2016,?
22/10/2016,?
23/10/2016,?
24/10/2016,?
25/10/2016,?
26/10/2016,23.04
27/10/2016,23.02
28/10/2016,22.99
29/10/2016,23.05
30/10/2016,24.36
31/10/2016,24.36
1/11/2016,23.5
2/11/2016,23.41
3/11/2016,23.53
4/11/2016,23.76
5/11/2016,23.84
6/11/2016,24.09
7/11/2016,24.35
8/11/2016,24.96
9/11/2016,24.95
10/11/2016,24.98
11/11/2016,24.7
12/11/2016,24.67
13/11/2016,24.45
14/11/2016,24.08
15/11/2016,23.82
16/11/2016,23.79
17/11/2016,23.7
18/11/2016,23.58
19/11/2016,23.56
20/11/2016,23.97
21/11/2016,24.72
22/11/2016,25.88
23/11/2016,25.35
24/11/2016,25.31
25/11/2016,24.83
26/11/2016,24.4
27/11/2016,24.33
28/11/2016,24.48
29/11/2016,24.51
30/11/2016,24.06
1/12/2016,24.68
2/12/2016,24.71
3/12/2016,24.56
4/12/2016,25.16
5/12/2016,25.14
6/12/2016,24.82
7/12/2016,24.58
8/12/2016,24.81
9/12/2016,25.32
10/12/2016,24.98
11/12/2016,25.14
12/12/2016,26.75
13/12/2016,26.35
14/12/2016,24.99
15/12/2016,24.45
16/12/2016,24.33
17/12/2016,24.29
18/12/2016,24.7
19/12/2016,25.21
20/12/2016,24.93
21/12/2016,24.67
22/12/2016,24.54
23/12/2016,24.37
24/12/2016,24.39
25/12/2016,24.35
26/12/2016,24.51
27/12/2016,24.69
28/12/2016,24.56
29/12/2016,24.34
30/12/2016,24.34
31/12/2016,24.34
1/1/2017,24.01
2/1/2017,25.17
3/1/2017,25.67
4/1/2017,25.92
5/1/2017,25.95
6/1/2017,25.28
7/1/2017,24.63
8/1/2017,24.33
9/1/2017,24.11
10/1/2017,23.95
11/1/2017,23.82
12/1/2017,23.76
13/1/2017,23.75
14/1/2017,23.96
15/1/2017,24.37
16/1/2017,25.03
17/1/2017,24.89
18/1/2017,24.99
19/1/2017,25.16
20/1/2017,25.08
21/1/2017,24.93
22/1/2017,24.98
23/1/2017,25.76
24/1/2017,26.69
25/1/2017,30.02
26/1/2017,32.01
27/1/2017,32.75
28/1/2017,32.95
29/1/2017,32.41
30/1/2017,30.24
31/1/2017,27.66
1/2/2017,26.57
2/2/2017,26.19
3/2/2017,25.8
4/2/2017,25.42
5/2/2017,25.24
6/2/2017,25.18
7/2/2017,25.11
8/2/2017,24.97
9/2/2017,24.68
10/2/2017,24.49
11/2/2017,24.36
12/2/2017,24.27
13/2/2017,24.26
14/2/2017,24.2
15/2/2017,24.18
16/2/2017,24.25
17/2/2017,24.27
18/2/2017,24.16
19/2/2017,24.06
20/2/2017,24.09
21/2/2017,24.09
22/2/2017,24.04
23/2/2017,23.96
24/2/2017,24.03
25/2/2017,24.11
26/2/2017,24.25
27/2/2017,24.46
28/2/2017,24.87
1/3/2017,25.68
2/3/2017,25.78
3/3/2017,26.31
4/3/2017,26.78
5/3/2017,26.03
6/3/2017,25.28
7/3/2017,24.99
8/3/2017,24.58
9/3/2017,24.37
10/3/2017,24.25
11/3/2017,24.08
12/3/2017,23.97
13/3/2017,23.91
14/3/2017,23.84
15/3/2017,23.8
16/3/2017,23.79
17/3/2017,23.86
18/3/2017,23.96
19/3/2017,24.07
20/3/2017,24.26
21/3/2017,24.53
22/3/2017,24.77
23/3/2017,24.51
24/3/2017,24.21
25/3/2017,24.21
26/3/2017,24.32
27/3/2017,24.17
28/3/2017,23.99
29/3/2017,25.11
30/3/2017,24.86
31/3/2017,25.3
1/4/2017,24.75
2/4/2017,25.13
3/4/2017,25.88
4/4/2017,26.32
5/4/2017,26.23
6/4/2017,25.73
7/4/2017,25.12
8/4/2017,24.67
9/4/2017,24.89
10/4/2017,25.12
11/4/2017,25.39
12/4/2017,25.48
13/4/2017,25.47
14/4/2017,25.2
15/4/2017,25.19
16/4/2017,25.12
17/4/2017,24.75
18/4/2017,24.43
19/4/2017,24.49
20/4/2017,24.9
21/4/2017,25.9
22/4/2017,26.93
23/4/2017,26.53
24/4/2017,26.09
25/4/2017,25.63
26/4/2017,25.54
27/4/2017,25.83
28/4/2017,25.56
29/4/2017,25.29
30/4/2017,25
1/5/2017,24.86
2/5/2017,24.84
3/5/2017,24.63
4/5/2017,24.61
5/5/2017,24.54
6/5/2017,24.82
7/5/2017,25.18
8/5/2017,25.1
9/5/2017,25.57
10/5/2017,27.98
11/5/2017,28.62
12/5/2017,28.37
13/5/2017,28.2
14/5/2017,27.15
15/5/2017,26.42
16/5/2017,25.99
17/5/2017,25.63
18/5/2017,25.96
19/5/2017,25.88
20/5/2017,25.69
21/5/2017,25.47
22/5/2017,25.16
23/5/2017,24.84
24/5/2017,25.06
25/5/2017,26.51
26/5/2017,27.35
27/5/2017,27.04
28/5/2017,25.81
29/5/2017,24.73
30/5/2017,25.1
31/5/2017,25.47
1/6/2017,26.17
2/6/2017,26.48
3/6/2017,26.14
4/6/2017,26.1
5/6/2017,25.42
6/6/2017,25.07
7/6/2017,24.76
8/6/2017,24.58
9/6/2017,24.46
10/6/2017,24.39
11/6/2017,24.64
12/6/2017,25.06
13/6/2017,24.61
14/6/2017,24.46
15/6/2017,24.55
16/6/2017,24.4
17/6/2017,24.65
18/6/2017,25.45
19/6/2017,25.69
20/6/2017,25.32
21/6/2017,24.88
22/6/2017,24.81
23/6/2017,24.78
24/6/2017,24.87
25/6/2017,24.58
26/6/2017,24.44
27/6/2017,24.49
28/6/2017,24.73
29/6/2017,23.71
30/6/2017,23.71
1/7/2017,25.35
2/7/2017,25.33
3/7/2017,25.19
4/7/2017,26.31
5/7/2017,26.19
6/7/2017,25.43
7/7/2017,25.48
8/7/2017,25.11
9/7/2017,24.74
10/7/2017,24.55
11/7/2017,24.56
12/7/2017,24.76
13/7/2017,24.96
14/7/2017,24.74
15/7/2017,24.59
16/7/2017,24.45
17/7/2017,24.27
18/7/2017,24.13
19/7/2017,24.01
20/7/2017,24.03
21/7/2017,24.31
22/7/2017,24.2
23/7/2017,23.94
24/7/2017,23.88
25/7/2017,23.97
26/7/2017,23.87
27/7/2017,23.81
28/7/2017,23.78
29/7/2017,24.71
30/7/2017,24.98
31/7/2017,25.45
1/8/2017,23.68
2/8/2017,23.68
3/8/2017,23.74
4/8/2017,23.77
5/8/2017,23.81
6/8/2017,23.71
7/8/2017,23.66
8/8/2017,23.77
9/8/2017,24.08
10/8/2017,24.33
11/8/2017,24.7
12/8/2017,24.58
13/8/2017,24.96
14/8/2017,25.15
15/8/2017,25.14
16/8/2017,24.96
17/8/2017,24.7
18/8/2017,24.61
19/8/2017,24.71
20/8/2017,24.61
21/8/2017,24.37
22/8/2017,24.18
23/8/2017,24.18
24/8/2017,24.09
25/8/2017,23.92
26/8/2017,24.1
27/8/2017,25.32
28/8/2017,25.02
29/8/2017,25.1
30/8/2017,25.14
31/8/2017,25.14
1/9/2017,25.08
2/9/2017,24.56
3/9/2017,24.79
4/9/2017,25.33
5/9/2017,25.39
6/9/2017,25.03
7/9/2017,24.85
8/9/2017,25.1
9/9/2017,24.92
10/9/2017,24.97
11/9/2017,24.93
12/9/2017,25.62
13/9/2017,26.16
14/9/2017,25.33
15/9/2017,25.2
16/9/2017,25.24
17/9/2017,24.84
18/9/2017,24.68
19/9/2017,25.71
20/9/2017,26.13
21/9/2017,25.59
22/9/2017,25.28
23/9/2017,24.9
24/9/2017,24.48
25/9/2017,24.32
26/9/2017,24.16
27/9/2017,24.6
28/9/2017,25.35
29/9/2017,25.66
30/9/2017,25.31
1/10/2017,24.93
2/10/2017,25.17
3/10/2017,25.82
4/10/2017,25.2
5/10/2017,24.66
6/10/2017,24.51
7/10/2017,24.4
8/10/2017,24.87
9/10/2017,25.61
10/10/2017,25.57
11/10/2017,25.64
12/10/2017,25.65
13/10/2017,25.79
14/10/2017,26.23
15/10/2017,26.1
16/10/2017,25.09
17/10/2017,24.62
18/10/2017,24.42
19/10/2017,24.29
20/10/2017,24.18
21/10/2017,24.13
22/10/2017,24.11
23/10/2017,24.01
24/10/2017,23.98
25/10/2017,23.98
26/10/2017,24.3
27/10/2017,24.85
28/10/2017,25.62
29/10/2017,26.08
30/10/2017,26.07
31/10/2017,26.07
1/11/2017,25.32
2/11/2017,25.07
3/11/2017,24.95
4/11/2017,24.86
5/11/2017,24.87
6/11/2017,24.49
7/11/2017,24.34
8/11/2017,24.34
9/11/2017,24.87
10/11/2017,25.25
11/11/2017,25.38
12/11/2017,25.29
13/11/2017,25.7
14/11/2017,25.68
15/11/2017,25.96
16/11/2017,26.13
17/11/2017,25.49
18/11/2017,25.48
19/11/2017,25.22
20/11/2017,24.87
21/11/2017,24.61
22/11/2017,24.75
23/11/2017,24.76
24/11/2017,24.82
25/11/2017,24.98
26/11/2017,25.3
27/11/2017,24.99
28/11/2017,24.92
29/11/2017,24.65
30/11/2017,24.81
1/12/2017,26.33
2/12/2017,27.18
3/12/2017,26.72
4/12/2017,26.62
5/12/2017,27.6
6/12/2017,27.12
7/12/2017,26.47
8/12/2017,26.28
9/12/2017,26.2
10/12/2017,26.33
11/12/2017,25.78
12/12/2017,25.51
13/12/2017,26.18
14/12/2017,26.19
15/12/2017,25.57
16/12/2017,25.18
17/12/2017,24.88
18/12/2017,24.65
19/12/2017,24.67
20/12/2017,24.65
21/12/2017,24.46
22/12/2017,24.33
23/12/2017,24.26
24/12/2017,24.25
25/12/2017,24.35
26/12/2017,24.47
27/12/2017,24.34
28/12/2017,24.36
29/12/2017,24.36
30/12/2017,24.36
31/12/2017,24.36
1/1/2018,26.4
2/1/2018,28.77
3/1/2018,30.11
4/1/2018,31.03
5/1/2018,31.34
6/1/2018,30.49
7/1/2018,28.55
8/1/2018,27.1
9/1/2018,26.81
10/1/2018,26.88
11/1/2018,26.94
12/1/2018,27.09
13/1/2018,27.82
14/1/2018,28.46
15/1/2018,28
16/1/2018,27.02
17/1/2018,26.28
18/1/2018,26.16
19/1/2018,26.03
20/1/2018,25.88
21/1/2018,25.89
22/1/2018,26.17
23/1/2018,26.01
24/1/2018,26.23
25/1/2018,26.34
26/1/2018,26.37
27/1/2018,26.34
28/1/2018,26.33
29/1/2018,26.28
30/1/2018,26.21
31/1/2018,26.49
1/2/2018,26.39
2/2/2018,26.69
3/2/2018,26.29
4/2/2018,25.88
5/2/2018,25.46
6/2/2018,25.14
7/2/2018,24.95
8/2/2018,24.82
9/2/2018,24.73
10/2/2018,24.64
11/2/2018,24.56
12/2/2018,24.5
13/2/2018,24.43
14/2/2018,24.37
15/2/2018,24.37
16/2/2018,24.41
17/2/2018,24.34
18/2/2018,24.31
19/2/2018,24.34
20/2/2018,24.25
21/2/2018,24.18
22/2/2018,24.25
23/2/2018,24.23
24/2/2018,24.37
25/2/2018,24.4
26/2/2018,24.44
27/2/2018,24.26
28/2/2018,24.1
1/3/2018,24.02
2/3/2018,24.01
3/3/2018,24
4/3/2018,24.14
5/3/2018,24.5
6/3/2018,24.24
7/3/2018,23.99
8/3/2018,23.99
9/3/2018,24.51
10/3/2018,24.33
11/3/2018,24.04
12/3/2018,23.98
13/3/2018,23.9
14/3/2018,23.85
15/3/2018,23.78
16/3/2018,23.81
17/3/2018,24.13
18/3/2018,24.26
19/3/2018,23.98
20/3/2018,23.79
21/3/2018,23.73
22/3/2018,23.7
23/3/2018,23.7
24/3/2018,23.69
25/3/2018,23.63
26/3/2018,23.57
27/3/2018,23.55
28/3/2018,23.91
29/3/2018,23.53
30/3/2018,23.46
31/3/2018,23.89
1/4/2018,24.09
2/4/2018,24.54
3/4/2018,24.47
4/4/2018,24.21
5/4/2018,24.27
6/4/2018,23.83
7/4/2018,23.79
8/4/2018,23.9
9/4/2018,23.77
10/4/2018,23.61
11/4/2018,23.58
12/4/2018,23.54
13/4/2018,23.5
14/4/2018,23.48
15/4/2018,23.47
16/4/2018,23.48
17/4/2018,23.53
18/4/2018,23.54
19/4/2018,23.5
20/4/2018,23.62
21/4/2018,23.63
22/4/2018,23.69
23/4/2018,23.65
24/4/2018,23.74
25/4/2018,23.95
26/4/2018,23.81
27/4/2018,23.64
28/4/2018,23.59
29/4/2018,24.06
30/4/2018,23.8
1/5/2018,23.6
2/5/2018,24.16
3/5/2018,24.59
4/5/2018,24.48
5/5/2018,24.3
6/5/2018,24.27
7/5/2018,23.79
8/5/2018,23.65
9/5/2018,24.02
10/5/2018,24.33
11/5/2018,24.02
12/5/2018,23.8
13/5/2018,24.07
14/5/2018,24.06
15/5/2018,24.25
16/5/2018,24.6
17/5/2018,24.48
18/5/2018,24.2
19/5/2018,24.11
20/5/2018,24.06
21/5/2018,24.27
22/5/2018,24.48
23/5/2018,24.18
24/5/2018,24.12
25/5/2018,24.31
26/5/2018,24.17
27/5/2018,24.02
28/5/2018,23.97
29/5/2018,24.35
30/5/2018,24.07
31/5/2018,23.47
1/6/2018,24.47
2/6/2018,25.06
3/6/2018,25.28
4/6/2018,24.84
5/6/2018,24.21
6/6/2018,23.95
7/6/2018,23.8
8/6/2018,23.74
9/6/2018,23.72
10/6/2018,23.63
11/6/2018,23.55
12/6/2018,23.45
13/6/2018,23.5
14/6/2018,23.53
15/6/2018,23.44
16/6/2018,23.38
17/6/2018,23.38
18/6/2018,23.32
19/6/2018,23.32
20/6/2018,23.29
21/6/2018,23.3
22/6/2018,23.42
23/6/2018,23.7
24/6/2018,24.32
25/6/2018,25.18
26/6/2018,25.06
27/6/2018,25.25
28/6/2018,25.2
29/6/2018,23.62
30/6/2018,23.56
1/7/2018,24.13
2/7/2018,24.17
3/7/2018,24.77
4/7/2018,24.73
5/7/2018,24.35
6/7/2018,24.22
7/7/2018,24.01
8/7/2018,23.84
9/7/2018,23.73
10/7/2018,23.71
11/7/2018,23.75
12/7/2018,23.71
13/7/2018,23.62
14/7/2018,23.56
15/7/2018,23.51
16/7/2018,23.46
17/7/2018,23.4
18/7/2018,23.38
19/7/2018,23.4
20/7/2018,23.4
21/7/2018,23.39
22/7/2018,23.38
23/7/2018,23.38
24/7/2018,23.41
25/7/2018,23.41
26/7/2018,23.45
27/7/2018,23.63
28/7/2018,23.72
29/7/2018,23.23
30/7/2018,23.28
31/7/2018,24.78
1/8/2018,24.41
2/8/2018,25.07
3/8/2018,25.15
4/8/2018,24.57
5/8/2018,24.01
6/8/2018,23.72
7/8/2018,23.6
8/8/2018,23.51
9/8/2018,23.54
10/8/2018,23.61
11/8/2018,23.58
12/8/2018,23.47
13/8/2018,23.43
14/8/2018,23.36
15/8/2018,23.3
16/8/2018,23.3
17/8/2018,23.32
18/8/2018,23.32
19/8/2018,23.32
20/8/2018,23.3
21/8/2018,23.3
22/8/2018,23.29
23/8/2018,23.32
24/8/2018,23.43
25/8/2018,23.48
26/8/2018,23.39
27/8/2018,23.3
28/8/2018,23.25
29/8/2018,24.13
30/8/2018,24.21
31/8/2018,24.21
1/9/2018,23.5
2/9/2018,23.82
3/9/2018,23.97
4/9/2018,23.81
5/9/2018,23.81
6/9/2018,23.87
7/9/2018,23.9
8/9/2018,23.95
9/9/2018,24.01
10/9/2018,24.07
11/9/2018,24.14
12/9/2018,24.08
13/9/2018,23.57
14/9/2018,23.89
15/9/2018,24.67
16/9/2018,24.19
17/9/2018,24.06
18/9/2018,23.89
19/9/2018,23.73
20/9/2018,23.92
21/9/2018,24.44
22/9/2018,24.85
23/9/2018,24.62
24/9/2018,24.18
25/9/2018,23.78
26/9/2018,23.6
27/9/2018,23.59
28/9/2018,23.86
29/9/2018,25.84
30/9/2018,25.2
1/10/2018,24.07
2/10/2018,23.71
3/10/2018,23.73
4/10/2018,24.33
5/10/2018,24.49
6/10/2018,24.35
7/10/2018,24.39
8/10/2018,24.34
9/10/2018,24.09
10/10/2018,24.28
11/10/2018,24.35
12/10/2018,24.21
13/10/2018,24.28
14/10/2018,24.09
15/10/2018,24.99
16/10/2018,26.11
17/10/2018,25.38
18/10/2018,25.16
19/10/2018,25.34
20/10/2018,25.79
21/10/2018,26.02
22/10/2018,25.28
23/10/2018,24.61
24/10/2018,24.86
25/10/2018,25.43
26/10/2018,25.39
27/10/2018,25.43
28/10/2018,25.94
29/10/2018,25.11
30/10/2018,25.12
31/10/2018,25.12
1/11/2018,25.05
2/11/2018,24.89
3/11/2018,24.91
4/11/2018,25.44
5/11/2018,25.69
6/11/2018,25.51
7/11/2018,25.51
8/11/2018,25.46
9/11/2018,25.51
10/11/2018,26.21
11/11/2018,26.32
12/11/2018,26.26
13/11/2018,26.24
14/11/2018,25.95
15/11/2018,25.81
16/11/2018,25.67
17/11/2018,25.7
18/11/2018,25.5
19/11/2018,25.34
20/11/2018,25.5
21/11/2018,25.53
22/11/2018,25.17
23/11/2018,24.93
24/11/2018,24.76
25/11/2018,24.61
26/11/2018,24.6
27/11/2018,24.85
28/11/2018,25.12
29/11/2018,25.78
30/11/2018,25.06
1/12/2018,25.03
2/12/2018,24.83
3/12/2018,24.93
4/12/2018,24.83
5/12/2018,25.03
6/12/2018,25.04
7/12/2018,24.97
8/12/2018,25.52
9/12/2018,25.89
10/12/2018,25.8
11/12/2018,25.62
12/12/2018,25.76
13/12/2018,25.63
14/12/2018,26.21
15/12/2018,27.18
16/12/2018,26.68
17/12/2018,25.98
18/12/2018,25.65
19/12/2018,25.46
20/12/2018,25.54
21/12/2018,26.96
22/12/2018,26.73
23/12/2018,25.61
24/12/2018,25.04
25/12/2018,24.98
26/12/2018,25.81
27/12/2018,25.9
28/12/2018,26.27
29/12/2018,26.27
30/12/2018,26.27
31/12/2018,26.27
1/1/2019,24.77
2/1/2019,24.97
3/1/2019,24.79
4/1/2019,24.49
5/1/2019,24.34
6/1/2019,24.24
7/1/2019,24.17
8/1/2019,24.19
9/1/2019,24.3
10/1/2019,24.28
11/1/2019,24.51
12/1/2019,24.71
13/1/2019,24.42
14/1/2019,24.26
15/1/2019,24.21
16/1/2019,24.08
17/1/2019,23.97
18/1/2019,23.93
19/1/2019,23.98
20/1/2019,24.03
21/1/2019,23.91
22/1/2019,23.84
23/1/2019,23.77
24/1/2019,23.72
25/1/2019,23.69
26/1/2019,23.66
27/1/2019,23.61
28/1/2019,23.56
29/1/2019,23.57
30/1/2019,23.59
31/1/2019,23.67
1/2/2019,23.93
2/2/2019,23.89
3/2/2019,23.92
4/2/2019,23.91
5/2/2019,23.84
6/2/2019,23.71
7/2/2019,23.49
8/2/2019,23.4
9/2/2019,23.35
10/2/2019,23.37
11/2/2019,23.35
12/2/2019,23.34
13/2/2019,23.31
14/2/2019,23.28
15/2/2019,23.37
16/2/2019,23.46
17/2/2019,23.42
18/2/2019,23.4
19/2/2019,23.47
20/2/2019,23.84
21/2/2019,24.24
22/2/2019,23.85
23/2/2019,23.6
24/2/2019,23.44
25/2/2019,23.33
26/2/2019,23.23
27/2/2019,23.18
28/2/2019,23.2
1/3/2019,23.18
2/3/2019,23.11
3/3/2019,23.08
4/3/2019,23.05
5/3/2019,23.01
6/3/2019,23.02
7/3/2019,23.05
8/3/2019,23.05
9/3/2019,23.05
10/3/2019,23.05
11/3/2019,23.03
12/3/2019,22.99
13/3/2019,22.99
14/3/2019,23.03
15/3/2019,23.08
16/3/2019,23.06
17/3/2019,22.97
18/3/2019,22.97
19/3/2019,23.01
20/3/2019,23.49
21/3/2019,23.54
22/3/2019,23.6
23/3/2019,23.69
24/3/2019,23.65
25/3/2019,23.65
26/3/2019,23.84
27/3/2019,23.88
28/3/2019,23.78
29/3/2019,23.69
30/3/2019,23.9
31/3/2019,24.59
1/4/2019,24.23
2/4/2019,24.46
3/4/2019,24.67
4/4/2019,24.71
5/4/2019,24.65
6/4/2019,24.25
7/4/2019,23.96
8/4/2019,23.81
9/4/2019,23.7
10/4/2019,23.67
11/4/2019,23.74
12/4/2019,23.66
13/4/2019,23.65
14/4/2019,23.73
15/4/2019,24.03
16/4/2019,23.9
17/4/2019,23.95
18/4/2019,23.97
19/4/2019,23.84
20/4/2019,23.73
21/4/2019,23.68
22/4/2019,23.67
23/4/2019,23.55
24/4/2019,23.54
25/4/2019,23.63
26/4/2019,23.6
27/4/2019,23.6
28/4/2019,23.62
29/4/2019,24.33
30/4/2019,25.02
1/5/2019,24.03
2/5/2019,24.08
3/5/2019,23.99
4/5/2019,23.99
5/5/2019,24.15
6/5/2019,24.08
7/5/2019,24.04
8/5/2019,23.9
9/5/2019,23.79
10/5/2019,23.69
11/5/2019,23.6
12/5/2019,23.59
13/5/2019,23.93
14/5/2019,24.77
15/5/2019,24.41
16/5/2019,24.72
17/5/2019,25.02
18/5/2019,24.65
19/5/2019,24.23
20/5/2019,24.13
21/5/2019,23.97
22/5/2019,24.04
23/5/2019,24.08
24/5/2019,24.28
25/5/2019,24.32
26/5/2019,24.39
27/5/2019,24.76
28/5/2019,24.4
29/5/2019,23.8
30/5/2019,23.73
31/5/2019,23.88
1/6/2019,24.87
2/6/2019,24.43
3/6/2019,24.26
4/6/2019,24.38
5/6/2019,24.31
6/6/2019,24.57
7/6/2019,24.83
8/6/2019,25.04
9/6/2019,24.86
10/6/2019,24.56
11/6/2019,24.89
12/6/2019,25.1
13/6/2019,24.98
14/6/2019,24.69
15/6/2019,24.31
16/6/2019,24.25
17/6/2019,24.17
18/6/2019,24.03
19/6/2019,24.02
20/6/2019,24.14
21/6/2019,24.1
22/6/2019,24.41
23/6/2019,24.5
24/6/2019,24.15
25/6/2019,24.06
26/6/2019,23.96
27/6/2019,23.87
28/6/2019,23.88
29/6/2019,24.08
30/6/2019,24.07
1/7/2019,23.71
2/7/2019,23.68
3/7/2019,23.67
4/7/2019,23.66
5/7/2019,23.62
6/7/2019,23.59
7/7/2019,23.58
8/7/2019,23.74
9/7/2019,23.77
10/7/2019,23.84
11/7/2019,23.97
12/7/2019,23.9
13/7/2019,23.75
14/7/2019,23.68
15/7/2019,23.97
16/7/2019,23.9
17/7/2019,23.79
18/7/2019,23.83
19/7/2019,23.92
20/7/2019,23.96
21/7/2019,23.82
22/7/2019,23.68
23/7/2019,23.56
24/7/2019,23.61
25/7/2019,24.01
26/7/2019,24.16
27/7/2019,24.29
28/7/2019,24.04
29/7/2019,23.89
30/7/2019,23.77
31/7/2019,24.88
1/8/2019,23.68
2/8/2019,23.6
3/8/2019,23.63
4/8/2019,23.64
5/8/2019,23.62
6/8/2019,23.54
7/8/2019,23.52
8/8/2019,23.44
9/8/2019,23.41
10/8/2019,23.43
11/8/2019,23.37
12/8/2019,23.4
13/8/2019,23.4
14/8/2019,23.38
15/8/2019,23.48
16/8/2019,23.94
