Date,Sg. Jengka Maran (m)
17/12/2019,?
18/12/2019,?
19/12/2019,?
20/12/2019,?
21/12/2019,?
22/12/2019,?
23/12/2019,?
24/12/2019,?
25/12/2019,?
26/12/2019,?
27/12/2019,?
28/12/2019,?
29/12/2019,?
30/12/2019,?
31/12/2019,?
1/1/2020,?
2/1/2020,?
3/1/2020,?
4/1/2020,?
5/1/2020,?
6/1/2020,?
7/1/2020,?
8/1/2020,?
9/1/2020,?
10/1/2020,?
11/1/2020,?
12/1/2020,?
13/1/2020,?
14/1/2020,?
15/1/2020,?
16/1/2020,?
17/1/2020,?
18/1/2020,?
19/1/2020,?
20/1/2020,?
21/1/2020,?
22/1/2020,?
23/1/2020,?
24/1/2020,?
25/1/2020,?
26/1/2020,?
27/1/2020,?
28/1/2020,?
29/1/2020,?
30/1/2020,?
31/1/2020,?
1/2/2020,?
2/2/2020,?
3/2/2020,?
4/2/2020,?
5/2/2020,?
6/2/2020,?
7/2/2020,?
8/2/2020,?
9/2/2020,?
10/2/2020,?
11/2/2020,?
12/2/2020,?
13/2/2020,?
14/2/2020,?
15/2/2020,?
16/2/2020,?
17/2/2020,?
18/2/2020,?
19/2/2020,?
20/2/2020,?
21/2/2020,?
22/2/2020,?
23/2/2020,?
24/2/2020,?
25/2/2020,?
26/2/2020,?
27/2/2020,?
28/2/2020,?
29/2/2020,?
1/3/2020,?
2/3/2020,?
3/3/2020,?
4/3/2020,?
5/3/2020,?
6/3/2020,?
7/3/2020,?
8/3/2020,?
9/3/2020,?
10/3/2020,?
11/3/2020,?
12/3/2020,?
13/3/2020,?
14/3/2020,?
15/3/2020,?
16/3/2020,?
17/3/2020,?
18/3/2020,?
19/3/2020,?
20/3/2020,?
21/3/2020,?
22/3/2020,?
23/3/2020,?
24/3/2020,?
25/3/2020,?
26/3/2020,?
27/3/2020,?
28/3/2020,?
29/3/2020,?
30/3/2020,?
31/3/2020,?
1/4/2020,?
2/4/2020,?
3/4/2020,?
4/4/2020,?
5/4/2020,?
6/4/2020,?
7/4/2020,?
8/4/2020,?
9/4/2020,?
10/4/2020,?
11/4/2020,?
12/4/2020,?
13/4/2020,?
14/4/2020,?
15/4/2020,?
16/4/2020,?
17/4/2020,?
18/4/2020,?
19/4/2020,?
20/4/2020,?
21/4/2020,?
22/4/2020,?
23/4/2020,?
24/4/2020,?
25/4/2020,?
26/4/2020,?
27/4/2020,?
28/4/2020,?
29/4/2020,?
30/4/2020,?
1/5/2020,?
2/5/2020,?
3/5/2020,?
4/5/2020,?
5/5/2020,?
6/5/2020,?
7/5/2020,?
8/5/2020,?
9/5/2020,?
10/5/2020,?
11/5/2020,?
12/5/2020,?
13/5/2020,?
14/5/2020,?
15/5/2020,?
16/5/2020,?
17/5/2020,?
18/5/2020,?
19/5/2020,?
20/5/2020,?
21/5/2020,?
22/5/2020,?
23/5/2020,?
24/5/2020,?
25/5/2020,?
26/5/2020,?
27/5/2020,?
28/5/2020,?
29/5/2020,?
30/5/2020,?
31/5/2020,?
1/6/2020,?
2/6/2020,?
3/6/2020,?
4/6/2020,?
5/6/2020,?
6/6/2020,?
7/6/2020,?
8/6/2020,?
9/6/2020,?
10/6/2020,?
11/6/2020,?
12/6/2020,?
13/6/2020,?
14/6/2020,?
15/6/2020,?
16/6/2020,?
17/6/2020,?
18/6/2020,?
19/6/2020,?
20/6/2020,?
21/6/2020,?
22/6/2020,?
23/6/2020,?
24/6/2020,?
25/6/2020,?
26/6/2020,?
27/6/2020,?
28/6/2020,?
29/6/2020,?
30/6/2020,22.14
1/7/2020,?
2/7/2020,?
3/7/2020,?
4/7/2020,?
5/7/2020,?
6/7/2020,?
7/7/2020,?
8/7/2020,?
9/7/2020,?
10/7/2020,?
11/7/2020,?
12/7/2020,?
13/7/2020,?
14/7/2020,?
15/7/2020,?
16/7/2020,?
17/7/2020,?
18/7/2020,?
19/7/2020,?
20/7/2020,?
21/7/2020,?
22/7/2020,?
23/7/2020,?
24/7/2020,?
25/7/2020,?
26/7/2020,?
27/7/2020,?
28/7/2020,?
29/7/2020,?
30/7/2020,?
31/7/2020,22.12
1/8/2020,?
2/8/2020,?
3/8/2020,?
4/8/2020,?
5/8/2020,?
6/8/2020,?
7/8/2020,?
8/8/2020,?
9/8/2020,?
10/8/2020,?
11/8/2020,?
12/8/2020,?
13/8/2020,?
14/8/2020,?
15/8/2020,?
16/8/2020,?
17/8/2020,?
18/8/2020,?
19/8/2020,?
20/8/2020,?
21/8/2020,?
22/8/2020,?
23/8/2020,?
24/8/2020,?
25/8/2020,?
26/8/2020,?
27/8/2020,?
28/8/2020,?
29/8/2020,?
30/8/2020,?
31/8/2020,?
1/9/2020,?
2/9/2020,?
3/9/2020,?
4/9/2020,?
5/9/2020,?
6/9/2020,?
7/9/2020,?
8/9/2020,?
9/9/2020,?
10/9/2020,?
11/9/2020,?
12/9/2020,?
13/9/2020,?
14/9/2020,?
15/9/2020,?
16/9/2020,?
17/9/2020,?
18/9/2020,?
19/9/2020,?
20/9/2020,?
21/9/2020,?
22/9/2020,?
23/9/2020,?
24/9/2020,?
25/9/2020,?
26/9/2020,?
27/9/2020,?
28/9/2020,?
29/9/2020,?
30/9/2020,21.6
1/10/2020,?
2/10/2020,?
3/10/2020,?
4/10/2020,?
5/10/2020,?
6/10/2020,?
7/10/2020,?
8/10/2020,?
9/10/2020,?
10/10/2020,?
11/10/2020,?
12/10/2020,?
13/10/2020,?
14/10/2020,?
15/10/2020,?
16/10/2020,?
17/10/2020,?
18/10/2020,?
19/10/2020,?
20/10/2020,?
21/10/2020,?
22/10/2020,?
23/10/2020,?
24/10/2020,?
25/10/2020,?
26/10/2020,21.63
27/10/2020,21.58
28/10/2020,21.57
29/10/2020,21.56
30/10/2020,23.39
31/10/2020,23.39
1/11/2020,22.96
2/11/2020,23.33
3/11/2020,24.73
4/11/2020,23.24
5/11/2020,23.37
6/11/2020,22.96
7/11/2020,22.31
8/11/2020,22.19
9/11/2020,22.9
10/11/2020,23.25
11/11/2020,23.07
12/11/2020,22.47
13/11/2020,22.57
14/11/2020,22.95
15/11/2020,22.26
16/11/2020,21.92
17/11/2020,22.05
18/11/2020,22.24
19/11/2020,22.98
20/11/2020,22.56
21/11/2020,22.42
22/11/2020,23.28
23/11/2020,24
24/11/2020,23.54
25/11/2020,23.84
26/11/2020,24.13
27/11/2020,23.21
28/11/2020,22.62
29/11/2020,22.78
30/11/2020,22.42
1/12/2020,24.23
2/12/2020,24.51
3/12/2020,23.34
4/12/2020,22.39
5/12/2020,22.56
6/12/2020,22.43
7/12/2020,22.08
8/12/2020,21.98
9/12/2020,21.9
10/12/2020,21.88
11/12/2020,22.13
12/12/2020,21.94
13/12/2020,21.91
14/12/2020,22.31
15/12/2020,22.83
16/12/2020,23.13
17/12/2020,23.16
18/12/2020,22.46
19/12/2020,22.43
20/12/2020,22.88
21/12/2020,23.3
22/12/2020,23.48
23/12/2020,23.1
24/12/2020,22.43
25/12/2020,22.78
26/12/2020,22.9
27/12/2020,25.12
28/12/2020,24.96
29/12/2020,23.19
30/12/2020,23.19
31/12/2020,23.19
